"Wine";"link";"Link_wine"
"Chianti 2020";"https://www.vivino.com/IT/en/piccini-chianti-2020/w/1598405";"https://www.wine-searcher.com/find/piccini+chianti/2020/#t4"
"Col di Sasso (Cabernet Sauvignon - Sangiovese) 2020";"https://www.vivino.com/IT/en/banfi-col-di-sasso-cabernet-sauvignon-sangiovese-2020/w/22913";"https://www.wine-searcher.com/find/banfi+col+di+sasso+cabernet+sauvignon+sangiovese/2020/#t4"
"Rèmole Bianco 2020";"https://www.vivino.com/IT/en/frescobaldi-remole-bianco-2020/w/2098426";"https://www.wine-searcher.com/find/frescobaldi+remole+bianco/2020/#t4"
"Rèmole Rosso 2020";"https://www.vivino.com/IT/en/frescobaldi-remole-rosso-2020/w/21006";"https://www.wine-searcher.com/find/frescobaldi+remole+rosso/2020/#t4"
"Pian di Rémole Rosso 2019";"https://www.vivino.com/IT/en/frescobaldi-pian-di-remole-rosso-2019/w/2291822";"https://www.wine-searcher.com/find/frescobaldi+pian+di+remole+rosso/2019/#t4"
"Albizzia Chardonnay 2020";"https://www.vivino.com/IT/en/frescobaldi-albizzia-chardonnay-2020/w/20973";"https://www.wine-searcher.com/find/frescobaldi+albizzia+chardonnay/2020/#t4"
"Chianti 2019";"https://www.vivino.com/IT/en/it-duca-di-saragnano-chianti-2019/w/5002370";"https://www.wine-searcher.com/find/it+duca+di+saragnano+chianti/2019/#t4"
"Rosato Toscana 2020";"https://www.vivino.com/IT/en/santa-cristina-rosato-toscana-2020/w/2676169";"https://www.wine-searcher.com/find/santa+cristina+rosato+toscana/2020/#t4"
"Rosso dei Barbi 2018";"https://www.vivino.com/IT/en/fattoria-dei-barbi-rosso-dei-barbi-2018/w/54334";"https://www.wine-searcher.com/find/fattoria+dei+barbi+rosso+dei+barbi/2018/#t4"
"Buon Governo Toscana Governo all'uso 2020";"https://www.vivino.com/IT/en/piccini-buon-governo-toscana-governo-all-uso-2020/w/4296033";"https://www.wine-searcher.com/find/piccini+buon+governo+toscana+governo+all+uso/2020/#t4"
"Pater Sangiovese 2020";"https://www.vivino.com/IT/en/frescobaldi-pater-sangiovese-2020/w/21005";"https://www.wine-searcher.com/find/frescobaldi+pater+sangiovese/2020/#t4"
"Chianti Biskero 2020";"https://www.vivino.com/IT/en/salcheto-chianti-biskero-2020/w/6803697";"https://www.wine-searcher.com/find/salcheto+chianti+biskero/2020/#t4"
"Mandriolo Maremma Toscana 2018";"https://www.vivino.com/IT/en/moris-farms-srl-mandriolo-maremma-toscana-2018/w/1605189";"https://www.wine-searcher.com/find/moris+farms+srl+mandriolo+maremma+toscana/2018/#t4"
"Chianti Rùfina 2019";"https://www.vivino.com/IT/en/fattoria-travignoli-chianti-rufina-2019/w/14498";"https://www.wine-searcher.com/find/fattoria+travignoli+chianti+rufina/2019/#t4"
"Brusco 2018";"https://www.vivino.com/IT/en/fattoria-dei-barbi-brusco-2018/w/1169116";"https://www.wine-searcher.com/find/fattoria+dei+barbi+brusco/2018/#t4"
"I Coltri Toscana 2018";"https://www.vivino.com/IT/en/melini-i-coltri-toscana-2018/w/1154147";"https://www.wine-searcher.com/find/melini+i+coltri+toscana/2018/#t4"
"Morellino di Scansano Etichetta Rossa 2019";"https://www.vivino.com/IT/en/fattoria-dei-barbi-morellino-di-scansano-etichetta-rossa-2019/w/1424175";"https://www.wine-searcher.com/find/fattoria+dei+barbi+morellino+di+scansano+etichetta+rossa/2019/#t4"
"Chianti Colli Senesi 2020";"https://www.vivino.com/IT/en/it-fattoria-del-cerro-chianti-colli-senesi-2020/w/1166000";"https://www.wine-searcher.com/find/it+fattoria+del+cerro+chianti+colli+senesi/2020/#t4"
"Caspagnolo Chianti dei Colli Senesi 2020";"https://www.vivino.com/IT/en/it-villa-poggio-salvi-caspagnolo-chianti-dei-colli-senesi-2020/w/1292691";"https://www.wine-searcher.com/find/it+villa+poggio+salvi+caspagnolo+chianti+dei+colli+senesi/2020/#t4"
"Sassomagno Sant'Antimo 2019";"https://www.vivino.com/IT/en/fanti-sassomagno-sant-antimo-2019/w/1172777";"https://www.wine-searcher.com/find/fanti+sassomagno+sant+antimo/2019/#t4"
"Morellino di Scansano Roggiano 2020";"https://www.vivino.com/IT/en/cantina-vignaioli-del-morellino-di-scansano-morellino-di-scansano-roggiano-2020/w/1710888";"https://www.wine-searcher.com/find/cantina+vignaioli+del+morellino+di+scansano+morellino+di+scansano+roggiano/2020/#t4"
"Melacce Montecucco Vermentino 2020";"https://www.vivino.com/IT/en/collemassari-melacce-montecucco-vermentino-2020/w/1885273";"https://www.wine-searcher.com/find/collemassari+melacce+montecucco+vermentino/2020/#t4"
"Bosco del Grillo Governo 2020";"https://www.vivino.com/IT/en/geografico-bosco-del-grillo-governo-2020/w/5609265";"https://www.wine-searcher.com/find/geografico+bosco+del+grillo+governo/2020/#t4"
"Chianti Rùfina 2018";"https://www.vivino.com/IT/en/podere-il-balzo-chianti-rufina-2018/w/1721268";"https://www.wine-searcher.com/find/podere+il+balzo+chianti+rufina/2018/#t4"
"Podere 277 Rosso 2019";"https://www.vivino.com/IT/en/campo-alle-comete-podere-277-rosso-tuscany-2019/w/6306902";"https://www.wine-searcher.com/find/campo+alle+comete+podere+277+rosso+tuscany/2019/#t4"
"Vermentino Bianco Toscana 2020";"https://www.vivino.com/IT/en/belguardo-maremma-toscana-vermentino-bianco-toscana-2020/w/1215948";"https://www.wine-searcher.com/find/belguardo+maremma+toscana+vermentino+bianco+toscana/2020/#t4"
"Centine Rosso 2018";"https://www.vivino.com/IT/en/banfi-centine-rosso-2018/w/22910";"https://www.wine-searcher.com/find/banfi+centine+rosso/2018/#t4"
"Cletus 2018";"https://www.vivino.com/IT/en/it-corte-medicea-cletus-2018/w/3661536";"https://www.wine-searcher.com/find/it+corte+medicea+cletus/2018/#t4"
"Melacce Montecucco Vermentino 2019";"https://www.vivino.com/IT/en/collemassari-melacce-montecucco-vermentino-2019/w/1885273";"https://www.wine-searcher.com/find/collemassari+melacce+montecucco+vermentino/2019/#t4"
"Vermentino Maremma 2020";"https://www.vivino.com/IT/en/tenuta-moraia-vermentino-maremma-2020/w/7450105";"https://www.wine-searcher.com/find/tenuta+moraia+vermentino+maremma/2020/#t4"
"Pelofino Toscana Rosso 2017";"https://www.vivino.com/IT/en/fattoria-le-pupille-pelofino-toscana-rosso-2017/w/1199793";"https://www.wine-searcher.com/find/fattoria+le+pupille+pelofino+toscana+rosso/2017/#t4"
"Badilante 2019";"https://www.vivino.com/IT/en/podere-414-badilante-2019/w/5346459";"https://www.wine-searcher.com/find/podere+414+badilante/2019/#t4"
"Dogajolo Toscana Rosato 2019";"https://www.vivino.com/IT/en/carpineto-dogajolo-toscana-rosato-2019/w/3250421";"https://www.wine-searcher.com/find/carpineto+dogajolo+toscana+rosato/2019/#t4"
"Tuforosso 2015";"https://www.vivino.com/IT/en/sassotondo-tuforosso-2015/w/4056007";"https://www.wine-searcher.com/find/sassotondo+tuforosso/2015/#t4"
"Rosso di Montepulciano 2020";"https://www.vivino.com/IT/en/gracciano-rosso-di-montepulciano-2020/w/2555265";"https://www.wine-searcher.com/find/gracciano+rosso+di+montepulciano/2020/#t4"
"Le Due Arbie Rosso 2018";"https://www.vivino.com/IT/en/dievole-le-due-arbie-rosso-tuscany-2018/w/4399770";"https://www.wine-searcher.com/find/dievole+le+due+arbie+rosso+tuscany/2018/#t4"
"Meme Chianti 2018";"https://www.vivino.com/IT/en/fattoria-di-petrognano-meme-chianti-2018/w/1675665";"https://www.wine-searcher.com/find/fattoria+di+petrognano+meme+chianti/2018/#t4"
"Nemorino 2019";"https://www.vivino.com/IT/en/i-giusti-and-zanza-nemorino-2019/w/78547";"https://www.wine-searcher.com/find/i+giusti+and+zanza+nemorino/2019/#t4"
"Citto Toscana 2018";"https://www.vivino.com/IT/en/volpaia-citto-toscana-2018/w/1243873";"https://www.wine-searcher.com/find/volpaia+citto+toscana/2018/#t4"
"Fattoria Il Colle Chianti Superiore 2019";"https://www.vivino.com/IT/en/donatella-cinelli-colombini-fattoria-il-colle-chianti-superiore-2019/w/1149822";"https://www.wine-searcher.com/find/donatella+cinelli+colombini+fattoria+il+colle+chianti+superiore/2019/#t4"
"Maremma Toscana Vermentino 2019";"https://www.vivino.com/IT/en/sassoregale-maremma-toscana-vermentino-2019/w/3123798";"https://www.wine-searcher.com/find/sassoregale+maremma+toscana+vermentino/2019/#t4"
"La Pettegola Vermentino 2018";"https://www.vivino.com/IT/en/banfi-la-pettegola-vermentino-2018/w/1490590";"https://www.wine-searcher.com/find/banfi+la+pettegola+vermentino/2018/#t4"
"Poggio Al Tufo Alicante 2016";"https://www.vivino.com/IT/en/tommasi-poggio-al-tufo-alicante-2016/w/1178006";"https://www.wine-searcher.com/find/tommasi+poggio+al+tufo+alicante/2016/#t4"
"Armonia Toscana 2014";"https://www.vivino.com/IT/en/casadei-armonia-toscana-2014/w/1227696";"https://www.wine-searcher.com/find/casadei+armonia+toscana/2014/#t4"
"Vermentino Toscana 2020";"https://www.vivino.com/IT/en/poggio-argentiera-vermentino-toscana-2020/w/3614333";"https://www.wine-searcher.com/find/poggio+argentiera+vermentino+toscana/2020/#t4"
"Rigoleto Montecucco Rosso 2018";"https://www.vivino.com/IT/en/collemassari-rigoleto-montecucco-rosso-2018/w/87654";"https://www.wine-searcher.com/find/collemassari+rigoleto+montecucco+rosso/2018/#t4"
"Villa Antinori Toscana Bianco 2021";"https://www.vivino.com/IT/en/antinori-tuscany-villa-antinori-toscana-bianco-2021/w/59894";"https://www.wine-searcher.com/find/antinori+tuscany+villa+antinori+toscana+bianco/2021/#t4"
"Chianti Superiore 2019";"https://www.vivino.com/IT/en/banfi-chianti-superiore-2019/w/1179049";"https://www.wine-searcher.com/find/banfi+chianti+superiore/2019/#t4"
"Vermentino Montecarlo 2018";"https://www.vivino.com/IT/en/borgo-la-torre-vermentino-montecarlo-2018/w/1783562";"https://www.wine-searcher.com/find/borgo+la+torre+vermentino+montecarlo/2018/#t4"
"Nara' Vermentino 2020";"https://www.vivino.com/IT/en/salustri-nara-vermentino-2020/w/1247302";"https://www.wine-searcher.com/find/salustri+nara+vermentino/2020/#t4"
"Chianti Superiore 2020";"https://www.vivino.com/IT/en/ruffino-chianti-superiore-2020/w/1144970";"https://www.wine-searcher.com/find/ruffino+chianti+superiore/2020/#t4"
"Vernaiolo Chianti 2019";"https://www.vivino.com/IT/en/rocca-delle-macie-vernaiolo-chianti-2019/w/10306";"https://www.wine-searcher.com/find/rocca+delle+macie+vernaiolo+chianti/2019/#t4"
"Vermentino Bianco Toscana 2018";"https://www.vivino.com/IT/en/belguardo-maremma-toscana-vermentino-bianco-toscana-2018/w/1215948";"https://www.wine-searcher.com/find/belguardo+maremma+toscana+vermentino+bianco+toscana/2018/#t4"
"Chianti Classico 2019";"https://www.vivino.com/IT/en/borgo-scopeto-chianti-classico-2019/w/4284";"https://www.wine-searcher.com/find/borgo+scopeto+chianti+classico/2019/#t4"
